City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Matara,LK,87.49,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
132,Tarakan,ID,82.4,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
136,Byron Bay,AU,82.4,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
145,Kualakapuas,ID,87.8,scattered clouds,-3.0091,114.3876,Guest House Izonk
152,Kavieng,PG,84.96,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
154,Sola,VU,86.0,broken clouds,-13.8833,167.55,Leumerus Bungalows
162,Vaitape,PF,82.6,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
163,Kloulklubed,PW,82.4,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
164,Mogadishu,SO,80.6,broken clouds,2.0371,45.3438,Hotel Juba
166,Kavaratti,IN,81.73,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
168,Gizo,SB,84.54,overcast clouds,-8.103,156.8419,Imagination Island
170,Saint-Pierre,RE,87.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
187,Parian Dakula,PH,82.49,overcast clouds,5.5567,120.7719,
197,Bhuban,IN,84.79,clear sky,20.8833,85.8333,Sree Ganesh Sweetstall
198,Edd,ER,76.6,few clouds,13.9297,41.6925,
200,Batticaloa,LK,81.55,broken clouds,7.7102,81.6924,Grand Star Guest House
208,Bengkulu,ID,86.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
209,Harihar,IN,86.79,clear sky,14.5167,75.8,Akbar Aluminyam
213,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
219,Toamasina,MG,87.8,scattered clouds,-18.1667,49.3833,Hotel H1
220,Monrovia,LR,75.2,mist,6.3005,-10.7969,Sunset Inn
228,Galle,LK,83.01,few clouds,6.0367,80.217,Amangalla
232,Morondava,MG,84.33,light rain,-20.2833,44.2833,La Case Bambou
235,Auki,SB,76.44,light rain,-8.7676,160.7034,Auki Motel
236,Belmonte,BR,77.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
244,Marawi,PH,81.0,overcast clouds,7.9986,124.2928,Derogongan Residence
245,Fare,PF,82.47,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
252,Kepanjen,ID,84.65,light rain,-8.1303,112.5727,Hotel YNO Castle Kepanjen
253,Lufilufi,WS,75.2,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
254,Ulundi,ZA,84.02,scattered clouds,-28.3352,31.4162,Ekhethelo Lodge
256,Sadiqabad,PK,80.67,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
265,Mount Isa,AU,82.4,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
267,Tabuk,PH,83.28,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
276,Savanur,IN,80.6,clear sky,14.9667,75.35,Sajid maniyar
279,Maragogi,BR,76.53,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
281,Manado,ID,86.0,light rain,1.4869999999999999,124.8455,Aryaduta Hotel
289,Innisfail,AU,85.53,overcast clouds,-17.5333,146.0333,Moondarra Motel
292,Ballina,AU,82.4,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
293,Puerto Carreno,CO,79.32,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
298,Guilin,CN,77.0,scattered clouds,25.2819,110.2864,Grand 0773 Hotel
299,Mangrul Pir,IN,80.04,clear sky,20.3167,77.35,A one dresess& cloth store Dargha chowk Mangrulpir
301,Saint-Joseph,RE,86.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
305,Porbandar,IN,81.95,clear sky,21.6422,69.6093,Lords Inn Porbandar
306,Sassandra,CI,75.79,broken clouds,4.95,-6.0833,la terrasse
316,Wanning,CN,75.04,clear sky,18.8003,110.3967,Paradise Hotel
317,Samarai,PG,86.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
320,Kieta,PG,83.05,moderate rain,-6.2167,155.6333,
325,Port Blair,IN,83.35,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
328,Mocuba,MZ,86.16,few clouds,-16.8392,36.9856,Phama Lodge
333,Port Elizabeth,ZA,75.2,few clouds,-33.918,25.5701,39 On Nile Guest House
336,Broken Hill,AU,80.6,clear sky,-31.95,141.4333,Royal Exchange Hotel
340,Mailsi,PK,77.92,clear sky,29.8003,72.1758,Mian Lodge
345,Quatre Cocos,MU,86.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
346,Qui Nhon,VN,76.37,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
348,Calamar,CO,78.8,clear sky,10.2511,-74.9146,Hostal Katyalex
349,Nsanje,MW,89.37,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
350,Sao Jose Da Coroa Grande,BR,76.96,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
358,Mahibadhoo,MV,81.59,overcast clouds,3.7833,72.9667,Omadhoo Inn
365,Salalah,OM,77.0,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
367,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
378,Caravelas,BR,76.82,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
381,Srikakulam,IN,83.16,overcast clouds,18.3,83.9,Sriram residency
