City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Ketchikan,US,55.3422,-131.6461,33.8,74,90,13.8,overcast clouds
189,Lata,PT,40.1629,-8.3327,48.99,89,28,0.43,scattered clouds
190,Paamiut,GL,61.994,-49.6678,30.25,84,100,3.2,overcast clouds
191,Esperance,AU,-33.8667,121.9,68.0,73,90,20.71,overcast clouds
192,Taoudenni,ML,22.6783,-3.9836,52.88,46,14,7.34,few clouds
193,Leningradskiy,RU,69.3833,178.4167,-11.51,72,20,3.15,few clouds
194,Vagay,RU,57.9375,69.0217,20.53,96,100,14.25,overcast clouds
195,Sokoto,NG,13.0609,5.239,66.33,24,49,13.91,scattered clouds
196,Vardo,NO,70.3705,31.1107,25.61,93,100,27.67,light snow
197,Bhuban,IN,20.8833,85.8333,84.79,27,0,3.06,clear sky
198,Edd,ER,13.9297,41.6925,76.6,63,16,7.56,few clouds
199,Freeport,US,40.6576,-73.5832,35.01,80,1,7.52,clear sky
200,Batticaloa,LK,7.7102,81.6924,81.55,79,84,14.83,broken clouds
201,Phanom Sarakham,TH,13.7479,101.3553,97.0,33,0,7.99,clear sky
202,Kaeo,NZ,-35.1,173.7833,69.01,68,28,8.99,scattered clouds
203,Coquimbo,CL,-29.9533,-71.3436,57.2,82,0,4.61,clear sky
204,Chitral,PK,35.8462,71.7858,54.61,40,0,6.4,clear sky
205,Alice Springs,AU,-23.7,133.8833,93.99,19,2,17.27,clear sky
206,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.84,99,100,6.08,overcast clouds
207,Clyde River,CA,70.4692,-68.5914,-7.6,84,90,2.3,overcast clouds
208,Bengkulu,ID,-3.8004,102.2655,86.86,60,100,12.5,overcast clouds
209,Harihar,IN,14.5167,75.8,86.79,18,0,12.88,clear sky
210,Tuatapere,NZ,-46.1333,167.6833,62.01,75,100,3.53,overcast clouds
211,San Cristobal,VE,7.7669,-72.225,64.6,87,89,2.42,overcast clouds
212,East London,ZA,-33.0153,27.9116,71.6,78,20,8.05,few clouds
213,Isangel,VU,-19.55,169.2667,86.0,70,75,5.75,broken clouds
214,Ossora,RU,59.2353,163.0719,28.51,97,100,36.15,snow
215,Gillette,US,44.2911,-105.5022,6.8,78,90,8.05,light snow
216,Ayan,RU,56.45,138.1667,-0.42,82,100,15.88,overcast clouds
217,Kutum,SD,14.2,24.6667,56.32,37,97,9.08,overcast clouds
218,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,75,13.58,broken clouds
219,Toamasina,MG,-18.1667,49.3833,87.8,66,40,11.5,scattered clouds
220,Monrovia,LR,6.3005,-10.7969,75.2,94,40,1.43,mist
221,Guerrero Negro,MX,27.9769,-114.0611,59.63,67,1,4.74,clear sky
222,Saldanha,ZA,-33.0117,17.9442,68.0,73,95,10.36,overcast clouds
223,Camocim,BR,-2.9022,-40.8411,74.17,92,36,6.64,scattered clouds
224,Kruisfontein,ZA,-34.0033,24.7314,73.99,69,0,5.01,clear sky
225,Tevriz,RU,57.509,72.4042,19.63,95,100,15.77,overcast clouds
226,Antofagasta,CL,-23.65,-70.4,64.4,82,0,1.14,clear sky
227,Aginskoye,RU,51.1,114.53,6.24,88,1,4.47,clear sky
228,Galle,LK,6.0367,80.217,83.01,71,18,4.61,few clouds
229,Hamilton,US,39.1834,-84.5333,27.0,63,90,12.66,light snow
230,Ishigaki,JP,24.3448,124.1572,73.4,68,40,10.36,scattered clouds
231,Changli,CN,39.7042,119.1506,35.01,64,0,5.88,clear sky
232,Morondava,MG,-20.2833,44.2833,84.33,73,100,7.25,light rain
233,Manoel Urbano,BR,-8.8389,-69.2597,71.51,94,100,0.51,overcast clouds
234,Dakar,SN,14.6937,-17.4441,62.6,88,14,11.5,few clouds
235,Auki,SB,-8.7676,160.7034,76.44,91,100,6.17,light rain
236,Belmonte,BR,-15.8631,-38.8828,77.0,88,20,6.91,few clouds
237,Gat,IL,31.61,34.7642,57.99,100,0,1.32,clear sky
238,Hasaki,JP,35.7333,140.8333,63.0,25,20,8.05,few clouds
239,Katsuura,JP,35.1333,140.3,61.0,41,0,12.66,clear sky
240,Thompson,CA,55.7435,-97.8558,-31.0,61,75,11.5,snow
241,Todos Santos,MX,23.45,-110.2167,61.0,75,100,1.1,overcast clouds
242,Talcahuano,CL,-36.7167,-73.1167,59.0,94,90,8.05,overcast clouds
243,Nortelandia,BR,-14.4547,-56.8028,70.54,94,80,2.44,broken clouds
244,Marawi,PH,7.9986,124.2928,81.0,86,100,3.0,overcast clouds
245,Fare,PF,-16.7,-151.0167,82.47,72,23,9.82,few clouds
246,Sitka,US,57.0531,-135.33,30.2,59,90,3.44,overcast clouds
247,Sidhi,IN,24.4167,81.8833,74.43,25,0,8.03,clear sky
248,Ilulissat,GL,69.2167,-51.1,28.4,40,0,25.32,light snow
249,Ornskoldsvik,SE,63.2909,18.7153,17.6,93,90,9.22,overcast clouds
250,Pevek,RU,69.7008,170.3133,-9.33,86,0,4.12,clear sky
251,Hofn,IS,64.2539,-15.2082,34.11,89,100,16.84,light snow
252,Kepanjen,ID,-8.1303,112.5727,84.65,66,83,7.54,light rain
253,Lufilufi,WS,-13.8745,-171.5986,75.2,100,90,16.11,moderate rain
254,Ulundi,ZA,-28.3352,31.4162,84.02,59,27,0.4,scattered clouds
255,Ayia Marina,GR,37.75,23.5333,59.0,64,100,1.01,overcast clouds
256,Sadiqabad,PK,28.3062,70.1307,80.67,14,0,6.08,clear sky
